sample,model,response_time,transcription,accuracy
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,deepgram-nova-3,1.41,CCK060,0.0
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,gladia,0.9,CCK 060,0.0
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,google-latest_long,0.83,cck060,0.0
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,groq-whisper-large-v3,0.7, CCK 060,0.0
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,groq-whisper-large-v3-turbo,0.25, CCK 060,0.0
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,elevenlabs,0.61,CCK 060.,0.0
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,fal,1.15,cck060,0.0
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,speechmatics,0.0,,0.0
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,openai-gpt-4o-transcribe,1.23,CCK060.,0.0
0039a99f-8559-4e5a-81aa-2e71d831cc9d.wav,latice,0.39,CCK-060,0.0
,,,,
00701cfc-24a6-4bca-843e-53e77552df6e.wav,deepgram-nova-3,7.02,Kuu tuplavetset yksi nolla,0.0
00701cfc-24a6-4bca-843e-53e77552df6e.wav,gladia,1.9,QW-chat 100,0.0
00701cfc-24a6-4bca-843e-53e77552df6e.wav,google-latest_long,0.65,QP Z 10,0.0
00701cfc-24a6-4bca-843e-53e77552df6e.wav,groq-whisper-large-v3,0.26, QWChat 100,0.0
00701cfc-24a6-4bca-843e-53e77552df6e.wav,groq-whisper-large-v3-turbo,0.32, QWJ100,0.0
00701cfc-24a6-4bca-843e-53e77552df6e.wav,elevenlabs,0.74,QWZ1006.,0.0
00701cfc-24a6-4bca-843e-53e77552df6e.wav,fal,1.01,QWChat100,0.0
00701cfc-24a6-4bca-843e-53e77552df6e.wav,speechmatics,0.0,,0.0
00701cfc-24a6-4bca-843e-53e77552df6e.wav,openai-gpt-4o-transcribe,0.5,www.chat100.,0.0
00701cfc-24a6-4bca-843e-53e77552df6e.wav,latice,0.37,KWZ-100,0.0
,,,,
00ba4c5a-db28-4e15-9446-3318c131908e.wav,deepgram-nova-3,3.37,Haluatko tahdosta tämän napata? Kyllä.,0.0
00ba4c5a-db28-4e15-9446-3318c131908e.wav,gladia,0.95,Haluatko taudasta?,0.0
00ba4c5a-db28-4e15-9446-3318c131908e.wav,google-latest_long,0.83,Haluatko tarkastaa jarrut kyllä?,0.0
00ba4c5a-db28-4e15-9446-3318c131908e.wav,groq-whisper-large-v3,0.35, Halutko tarkastaa jarraa? Kyllä.,0.0
00ba4c5a-db28-4e15-9446-3318c131908e.wav,groq-whisper-large-v3-turbo,0.36, Haluatko tarkastuttaa Jarrokaan? Kyllä.,0.0
00ba4c5a-db28-4e15-9446-3318c131908e.wav,elevenlabs,0.85,Haluatko tarkastuttaa jarruja? Kyllä. (kohinaa),0.0
00ba4c5a-db28-4e15-9446-3318c131908e.wav,fal,1.19,Halutko tarkastaa Jarvoa? Kyllä.,0.0
00ba4c5a-db28-4e15-9446-3318c131908e.wav,speechmatics,0.0,,0.0
00ba4c5a-db28-4e15-9446-3318c131908e.wav,openai-gpt-4o-transcribe,1.62,Haluatko tarkastuttaa jarrut?,0.0
00ba4c5a-db28-4e15-9446-3318c131908e.wav,latice,0.52,Haluaako tarkastuttaa jarrota? – Kyllä.,0.0
,,,,
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,deepgram-nova-3,1.28,IIL117,0.0
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,gladia,1.04,IIL 117,0.0
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,google-latest_long,2.68,l117,0.0
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,groq-whisper-large-v3,0.38, IIL 117,0.0
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,groq-whisper-large-v3-turbo,0.22, IIL 117,0.0
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,elevenlabs,0.61,IIL 117.,0.0
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,fal,1.17,IIL 117,0.0
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,speechmatics,0.0,,0.0
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,openai-gpt-4o-transcribe,0.63,EIIL117.,0.0
00f6e694-6416-48d8-9f5b-6f9b742fbdbd.wav,latice,0.36,IIL-117,0.0
,,,,
017f3474-e48e-487b-827a-d4026dbdef88.wav,deepgram-nova-3,4.08,Erenkaiden kulutuspinta on tasainen eli pyörän kulmat ja aurauskulmat on kunnossa,0.0
017f3474-e48e-487b-827a-d4026dbdef88.wav,gladia,1.54,Erenkaiden kulutuspinta on tasainen eli pyörän kulmat ja aurauskulmat on kunnossa.,0.0
017f3474-e48e-487b-827a-d4026dbdef88.wav,google-latest_long,1.22,"Renkaiden kulutuspinta on tasainen, eli pyörän kulmat ja aurauskulmat on kunnossa.",0.0
017f3474-e48e-487b-827a-d4026dbdef88.wav,groq-whisper-large-v3,0.45, ja erhengainen kulutuspinta on tasainen eli pyörän kulmat ja aurauskulmat on kunnossa.,0.0
017f3474-e48e-487b-827a-d4026dbdef88.wav,groq-whisper-large-v3-turbo,0.37," Erhenkaiden kulutuspinta on tasainen, eli pyörän kulmat ja aurauskulmat on kunnossa.",0.0
017f3474-e48e-487b-827a-d4026dbdef88.wav,elevenlabs,0.96,Renkaiden kulutuspinta on tasainen eli pyörän kulmat ja aurauskulmat on kunnossa.,0.0
017f3474-e48e-487b-827a-d4026dbdef88.wav,fal,1.17,erhengäiden kulutuspinta on tasainen eli pyörän kulmat ja aurauskulmat on kunnossa.,0.0
017f3474-e48e-487b-827a-d4026dbdef88.wav,speechmatics,0.0,,0.0
017f3474-e48e-487b-827a-d4026dbdef88.wav,openai-gpt-4o-transcribe,1.31,Renkaiden kulutuspinta on tasainen eli pyörän kulmat ja aurauskulmat on kunnossa.,0.0
017f3474-e48e-487b-827a-d4026dbdef88.wav,latice,0.58,"Renkaiden kulutuspinta on tasainen, eli pyörän kulmat ja jaurauskulmat on kunnossa.",0.0
,,,,
01940ab5-7691-4cd0-b3ac-725bb9ead2db.wav,deepgram-nova-3,4.39,,0.0
